Bubble Sort Results (In Seconds)
,10,100,1000,10000,25000,50000,100000
Test 1,0.00000517,0.00002221,0.00026833,0.00090288,0.00126775,0.00258175,0.00572121
Test 2,0.00000596,0.00000383,0.00003904,0.00045700,0.00120175,0.00255333,0.00532208
Test 3,0.00000088,0.00000321,0.00003842,0.00048421,0.00121471,0.00261767,0.00543029
Test 4,0.00000071,0.00000342,0.00003638,0.00044725,0.00121342,0.00255388,0.00535079
Test 5,0.00000083,0.00000346,0.00004175,0.00045317,0.00122513,0.00252171,0.00529638
Test 6,0.00000071,0.00000342,0.00003833,0.00047467,0.00121221,0.00252917,0.00543654
Test 7,0.00000042,0.00000292,0.00003613,0.00046438,0.00131054,0.00255142,0.00541971
Test 8,0.00000042,0.00000296,0.00003888,0.00052571,0.00120508,0.00258958,0.00532413
Test 9,0.00000038,0.00000375,0.00003629,0.00044892,0.00123938,0.00255167,0.00518092
Test 10,0.00000042,0.00000308,0.00003763,0.00050192,0.00126150,0.00260029,0.00520854
Averages,0.00000159,0.00000523,0.00006112,0.00051601,0.00123515,0.00256505,0.00536906

Java Arrays Sort Results (In Seconds)
,10,100,1000,10000,25000,50000,100000
Test 1,0.00043508,0.00003296,0.00035513,0.00242258,0.00263592,0.00386125,0.00680725
Test 2,0.00000538,0.00000663,0.00005646,0.00037958,0.00096538,0.00204225,0.00435546
Test 3,0.00000204,0.00000488,0.00002788,0.00038421,0.00098950,0.00204571,0.00428163
Test 4,0.00000192,0.00000346,0.00002913,0.00035033,0.00097667,0.00206917,0.00437333
Test 5,0.00000175,0.00000308,0.00002758,0.00034754,0.00095096,0.00197692,0.00434446
Test 6,0.00000204,0.00000529,0.00003142,0.00036600,0.00098067,0.00198908,0.00438488
Test 7,0.00000154,0.00000442,0.00002817,0.00035304,0.00096167,0.00203329,0.00424408
Test 8,0.00000138,0.00000258,0.00002717,0.00036921,0.00094688,0.00209913,0.00416842
Test 9,0.00000129,0.00001046,0.00002967,0.00035638,0.00101125,0.00205888,0.00445575
Test 10,0.00000154,0.00000575,0.00002638,0.00038408,0.00109442,0.00203721,0.00432854
Averages,0.00004540,0.00000795,0.00006390,0.00057130,0.00115133,0.00222129,0.00457438

